Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic_x,MaxInheritanceTree,MaxNesting_x,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic_x,Version,CommitId,BaseFileName,AvgCyclomatic_y,SumCyclomatic_y,MaxCyclomatic_y,AvgLineCode,SumLineCode,MaxLineCode,MaxNesting_y,SumDeclMethod,Bogue
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,10.0,10.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,167.0,22.0,125.0,38.0,70.0,20.0,0.0,0.0,0.0,57.0,89.0,37.0,0.0,58.0,0.0,11.0,0.0,3.0,0.0,0.0,"0,16",29.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,ACLConfigurationParser,2.9,29.0,11.0,10.6,106.0,42.0,3.0,0.0,0
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,34.0,0.0,0.0,0.0,34.0,34.0,31.0,0.0,0.0,0.0,34.0,0.0,0.0,10.0,0.0,0.0,3.0,21.0,0.0,525.0,60.0,412.0,152.0,213.0,53.0,0.0,0.0,0.0,195.0,268.0,135.0,0.0,155.0,0.0,7.0,0.0,4.0,0.0,0.0,"0,13",65.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AMReporter,2.571428571428572,18.0,4.0,31.72727272727273,349.0,102.0,4.0,20.0,0
File,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,18.0,0.0,0.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,351.0,32.0,292.0,64.0,214.0,27.0,0.0,0.0,0.0,133.0,165.0,60.0,0.0,120.0,0.0,64.0,0.0,2.0,0.0,0.0,"0,09",90.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,ASTBuilder,5.0,90.0,64.0,14.944444444444445,269.0,146.0,2.0,0.0,0
File,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,38.0,0.0,0.0,0.0,38.0,36.0,24.0,0.0,0.0,0.0,38.0,0.0,0.0,11.0,0.0,9.0,2.0,16.0,0.0,870.0,99.0,673.0,242.0,412.0,98.0,0.0,0.0,0.0,354.0,524.0,249.0,0.0,345.0,0.0,21.0,0.0,5.0,0.0,0.0,"0,15",144.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,ASTConverter,5.4,54.0,21.0,37.75,604.0,170.0,5.0,28.0,0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,49.0,8.0,21.0,18.0,6.0,20.0,0.0,0.0,0.0,12.0,18.0,13.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,95",5.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,ASTErrorNode,1.0,5.0,1.0,2.4,12.0,4.0,0.0,0.0,0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,26.0,26.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,349.0,52.0,240.0,75.0,133.0,57.0,0.0,0.0,0.0,123.0,178.0,67.0,0.0,129.0,0.0,11.0,0.0,4.0,0.0,0.0,"0,24",58.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,ASTNode,2.230769230769231,58.0,11.0,8.423076923076923,219.0,42.0,4.0,0.0,0
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,95.0,9.0,31.0,14.0,10.0,55.0,0.0,0.0,0.0,16.0,23.0,13.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,77",6.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,ASTNodeOrigin,1.0,6.0,1.0,3.8333333333333335,23.0,8.0,0.0,0.0,0
File,ATSHook.java,20.0,1.0,17.0,2.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,11.0,25.0,0.0,0.0,0.0,15.0,24.0,28.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,4.0,2.0,16.0,0.0,488.0,46.0,397.0,153.0,269.0,54.0,0.0,0.0,0.0,226.0,287.0,138.0,0.0,201.0,0.0,10.0,0.0,4.0,0.0,0.0,"0,14",55.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,ATSHook,3.5454545454545454,39.0,8.0,21.25,340.0,103.0,4.0,10.0,0
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,10.0,5.0,3.0,18.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,80",2.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbortDroneException,1.0,2.0,1.0,3.0,6.0,3.0,0.0,0.0,0
File,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,38.0,0.0,0.0,0.0,36.0,35.0,5.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,2.0,0.0,35.0,0.0,387.0,64.0,297.0,104.0,144.0,29.0,0.0,0.0,0.0,139.0,207.0,91.0,0.0,124.0,0.0,5.0,0.0,3.0,0.0,0.0,"0,10",61.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbortTxnRequest,1.7058823529411764,58.0,5.0,10.325,413.0,88.0,3.0,25.0,0
File,AbortTxnsDesc.java,5.0,0.0,3.0,2.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,13.0,8.0,3.0,23.0,0.0,0.0,0.0,7.0,10.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,77",2.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbortTxnsDesc,1.0,2.0,1.0,3.0,6.0,3.0,0.0,0.0,0
File,AbortTxnsRequest.java,8.0,0.0,7.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,41.0,0.0,0.0,0.0,39.0,38.0,4.0,0.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,2.0,0.0,38.0,0.0,438.0,67.0,346.0,110.0,164.0,28.0,0.0,0.0,0.0,154.0,236.0,101.0,0.0,149.0,0.0,6.0,0.0,4.0,0.0,0.0,"0,08",75.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbortTxnsRequest,1.864864864864865,69.0,6.0,11.69767441860465,503.0,108.0,4.0,25.0,0
File,AbstractBucketJoinProc.java,38.0,3.0,32.0,3.0,7.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,12.0,10.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0,515.0,52.0,395.0,155.0,236.0,69.0,0.0,0.0,0.0,193.0,282.0,137.0,0.0,205.0,0.0,26.0,0.0,6.0,0.0,0.0,"0,17",75.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractBucketJoinProc,6.25,75.0,26.0,29.66666666666667,356.0,140.0,6.0,0.0,0
File,AbstractCliConfig.java,7.0,0.0,7.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,42.0,0.0,0.0,0.0,40.0,41.0,20.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,4.0,13.0,25.0,0.0,438.0,63.0,347.0,118.0,172.0,28.0,0.0,0.0,0.0,154.0,246.0,116.0,0.0,153.0,0.0,8.0,0.0,4.0,0.0,0.0,"0,08",82.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractCliConfig,2.1875,70.0,8.0,8.216216216216216,304.0,27.0,4.0,10.0,0
File,AbstractCommandHandler.java,7.0,0.0,7.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,8.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,110.0,18.0,67.0,30.0,26.0,25.0,0.0,0.0,0.0,31.0,46.0,24.0,0.0,24.0,0.0,5.0,0.0,2.0,0.0,0.0,"0,37",13.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractCommandHandler,1.625,13.0,5.0,6.625,53.0,16.0,2.0,0.0,0
File,AbstractCorrelationProcCtx.java,5.0,0.0,5.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,8.0,8.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,99.0,14.0,63.0,28.0,23.0,23.0,0.0,0.0,0.0,35.0,49.0,29.0,0.0,22.0,0.0,5.0,0.0,3.0,0.0,0.0,"0,37",12.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractCorrelationProcCtx,1.5,12.0,5.0,5.375,43.0,22.0,3.0,0.0,0
File,AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,68.0,8.0,11.0,10.0,0.0,49.0,0.0,0.0,0.0,9.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"4,45",0.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractDeserializer,0.16666666666666666,1.0,1.0,1.8333333333333333,11.0,5.0,0.0,0.0,0
File,AbstractEncodingAwareSerDe.java,8.0,0.0,8.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,87.0,12.0,43.0,27.0,11.0,32.0,0.0,0.0,0.0,23.0,30.0,21.0,0.0,11.0,0.0,2.0,0.0,1.0,0.0,0.0,"0,74",6.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractEncodingAwareSerDe,0.8571428571428571,6.0,2.0,4.142857142857143,29.0,9.0,1.0,0.0,0
File,AbstractExpression.java,8.0,0.0,8.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,12.0,12.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,150.0,16.0,121.0,59.0,56.0,13.0,0.0,0.0,0.0,82.0,105.0,58.0,0.0,63.0,0.0,3.0,0.0,2.0,0.0,0.0,"0,11",22.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractExpression,1.8333333333333333,22.0,3.0,7.833333333333332,94.0,12.0,2.0,0.0,0
File,AbstractFileMergeOperator.java,18.0,1.0,14.0,4.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,12.0,11.0,16.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,293.0,23.0,204.0,69.0,118.0,66.0,0.0,0.0,0.0,107.0,142.0,61.0,0.0,94.0,0.0,9.0,0.0,5.0,0.0,0.0,"0,32",33.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractFileMergeOperator,2.75,33.0,9.0,13.916666666666664,167.0,36.0,5.0,0.0,0
File,AbstractFilterStringColLikeStringScalar.java,13.0,1.0,11.0,1.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,27.0,0.0,0.0,0.0,30.0,30.0,21.0,0.0,0.0,0.0,30.0,0.0,0.0,9.0,0.0,1.0,1.0,19.0,0.0,533.0,65.0,365.0,115.0,202.0,105.0,0.0,0.0,0.0,184.0,271.0,120.0,0.0,160.0,0.0,24.0,0.0,5.0,0.0,0.0,"0,29",76.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractFilterStringColLikeStringScalar,3.0,36.0,24.0,16.333333333333332,343.0,80.0,5.0,18.0,0
File,AbstractGenericUDAFResolver.java,9.0,1.0,8.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,56.0,6.0,23.0,12.0,6.0,27.0,0.0,0.0,0.0,6.0,10.0,6.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,"1,17",3.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractGenericUDAFResolver,1.5,3.0,2.0,8.0,16.0,10.0,1.0,0.0,0
File,AbstractGenericUDFEWAHBitmapBop.java,15.0,1.0,13.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,146.0,19.0,106.0,49.0,58.0,21.0,0.0,0.0,0.0,59.0,75.0,46.0,0.0,43.0,0.0,4.0,0.0,1.0,0.0,0.0,"0,20",14.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractGenericUDFEWAHBitmapBop,2.0,14.0,4.0,11.714285714285715,82.0,24.0,1.0,0.0,0
File,AbstractGenericUDFReflect.java,15.0,0.0,14.0,1.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,108.0,11.0,71.0,25.0,37.0,26.0,0.0,0.0,0.0,40.0,54.0,27.0,0.0,29.0,0.0,6.0,0.0,3.0,0.0,0.0,"0,37",13.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractGenericUDFReflect,2.6,13.0,6.0,11.2,56.0,25.0,3.0,0.0,0
File,AbstractHBaseKeyFactory.java,5.0,0.0,5.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,53.0,8.0,28.0,19.0,5.0,17.0,0.0,0.0,0.0,17.0,21.0,16.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,61",3.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractHBaseKeyFactory,1.0,3.0,1.0,4.666666666666667,14.0,6.0,0.0,0.0,0
File,AbstractHBaseKeyPredicateDecomposer.java,16.0,2.0,12.0,3.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,80.0,10.0,38.0,19.0,18.0,32.0,0.0,0.0,0.0,25.0,30.0,18.0,0.0,16.0,0.0,3.0,0.0,2.0,0.0,0.0,"0,84",4.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractHBaseKeyPredicateDecomposer,1.3333333333333333,4.0,3.0,8.333333333333334,25.0,20.0,2.0,0.0,0
File,AbstractHiveAuthorizer.java,8.0,0.0,4.0,4.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,4.0,7.0,4.0,1.0,30.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,"4,29",1.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractHiveAuthorizer,1.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0
File,AbstractHiveService.java,6.0,0.0,4.0,2.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,17.0,6.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,159.0,22.0,78.0,30.0,30.0,59.0,0.0,0.0,0.0,36.0,58.0,31.0,0.0,28.0,0.0,2.0,0.0,1.0,0.0,0.0,"0,76",20.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractHiveService,1.1764705882352942,20.0,2.0,3.7647058823529416,64.0,6.0,1.0,0.0,0
File,AbstractIndexHandler.java,6.0,0.0,6.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,58.0,7.0,28.0,14.0,9.0,23.0,0.0,0.0,0.0,17.0,23.0,14.0,0.0,10.0,0.0,3.0,0.0,2.0,0.0,0.0,"0,82",5.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractIndexHandler,1.6666666666666667,5.0,3.0,6.0,18.0,10.0,2.0,0.0,0
File,AbstractJoinTaskDispatcher.java,26.0,1.0,21.0,4.0,5.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,186.0,14.0,129.0,51.0,68.0,43.0,0.0,0.0,0.0,63.0,97.0,49.0,0.0,60.0,0.0,7.0,0.0,5.0,0.0,0.0,"0,33",25.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractJoinTaskDispatcher,4.166666666666667,25.0,7.0,18.0,108.0,29.0,5.0,0.0,0
File,AbstractMapJoinOperator.java,9.0,1.0,8.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,7.0,7.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,120.0,20.0,75.0,40.0,33.0,26.0,0.0,0.0,0.0,42.0,54.0,33.0,0.0,25.0,0.0,3.0,0.0,1.0,0.0,0.0,"0,35",10.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractMapJoinOperator,1.4285714285714286,10.0,3.0,7.571428571428571,53.0,20.0,1.0,0.0,0
File,AbstractMapJoinTableContainer.java,4.0,0.0,4.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,51.0,8.0,25.0,14.0,9.0,18.0,0.0,0.0,0.0,14.0,19.0,13.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,72",4.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractMapJoinTableContainer,1.0,4.0,1.0,4.0,16.0,6.0,0.0,0.0,0
File,AbstractMapOperator.java,7.0,0.0,6.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,0.0,0.0,14.0,16.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,0.0,178.0,30.0,99.0,50.0,42.0,49.0,0.0,0.0,0.0,54.0,74.0,44.0,0.0,38.0,0.0,6.0,0.0,2.0,0.0,0.0,"0,49",17.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractMapOperator,1.2142857142857142,17.0,6.0,4.866666666666666,73.0,22.0,2.0,2.0,0
File,AbstractOperatorDesc.java,4.0,0.0,4.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,16.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,115.0,23.0,75.0,42.0,19.0,17.0,0.0,0.0,0.0,29.0,46.0,30.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,23",16.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractOperatorDesc,1.0,16.0,1.0,3.75,60.0,5.0,0.0,0.0,0
File,AbstractOutputFormat.java,12.0,1.0,11.0,0.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,50.0,8.0,17.0,8.0,8.0,25.0,0.0,0.0,0.0,11.0,14.0,8.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,"1,47",2.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractOutputFormat,0.5,2.0,2.0,3.5,14.0,11.0,1.0,0.0,0
File,AbstractParquetMapInspector.java,10.0,1.0,9.0,0.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,13.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,173.0,26.0,134.0,48.0,68.0,13.0,0.0,0.0,0.0,57.0,90.0,37.0,0.0,58.0,0.0,10.0,0.0,2.0,0.0,0.0,"0,10",33.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractParquetMapInspector,2.5384615384615383,33.0,10.0,9.384615384615383,122.0,28.0,2.0,0.0,0
File,AbstractPrimitiveJavaObjectInspector.java,4.0,0.0,4.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,49.0,6.0,23.0,12.0,5.0,20.0,0.0,0.0,0.0,7.0,13.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,87",5.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractPrimitiveJavaObjectInspector,1.0,5.0,1.0,3.6,18.0,4.0,0.0,0.0,0
File,AbstractPrimitiveLazyObjectInspector.java,4.0,0.0,4.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,48.0,6.0,22.0,13.0,4.0,20.0,0.0,0.0,0.0,9.0,14.0,10.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,"0,91",5.0,rel/storage-release-2.3.0,9bedccc4b00308b071481d7b9ab623475a9fb5fb,AbstractPrimitiveLazyObjectInspector,1.25,5.0,2.0,3.5,14.0,4.0,0.0,0.0,0
