Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic_x,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic_x,MaxInheritanceTree,MaxNesting_x,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic_x,Version,CommitId,BaseFileName,AvgCyclomatic_y,SumCyclomatic_y,MaxCyclomatic_y,AvgLineCode,SumLineCode,MaxLineCode,MaxNesting_y,SumDeclMethod,Bogue
File,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,10.0,10.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,167.0,22.0,125.0,38.0,70.0,20.0,0.0,0.0,0.0,57.0,89.0,37.0,0.0,58.0,0.0,11.0,0.0,3.0,0.0,0.0,"0,16",29.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,ACLConfigurationParser,2.9,29.0,11.0,10.6,106.0,42.0,3.0,0.0,0
File,AMReporter.java,12.0,0.0,11.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,39.0,0.0,0.0,0.0,39.0,39.0,33.0,0.0,0.0,0.0,39.0,0.0,0.0,11.0,0.0,2.0,4.0,22.0,0.0,604.0,69.0,475.0,179.0,248.0,60.0,0.0,0.0,0.0,231.0,319.0,162.0,0.0,190.0,0.0,7.0,0.0,4.0,0.0,0.0,"0,13",76.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,AMReporter,2.4444444444444446,22.0,4.0,28.92857142857143,405.0,112.0,4.0,23.0,0
File,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,18.0,0.0,0.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,353.0,32.0,292.0,62.0,216.0,29.0,0.0,0.0,0.0,133.0,165.0,58.0,0.0,120.0,0.0,66.0,0.0,2.0,0.0,0.0,"0,10",92.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,ASTBuilder,5.111111111111111,92.0,66.0,14.944444444444445,269.0,146.0,2.0,0.0,0
File,ASTConverter.java,19.0,1.0,15.0,2.0,4.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,40.0,0.0,0.0,0.0,40.0,38.0,26.0,0.0,0.0,0.0,40.0,0.0,0.0,11.0,0.0,9.0,3.0,17.0,0.0,915.0,105.0,711.0,247.0,447.0,99.0,0.0,0.0,0.0,374.0,546.0,255.0,0.0,362.0,0.0,20.0,0.0,5.0,0.0,0.0,"0,14",156.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,ASTConverter,5.3,53.0,20.0,40.125,642.0,216.0,5.0,29.0,0
File,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,49.0,8.0,21.0,18.0,6.0,20.0,0.0,0.0,0.0,12.0,18.0,13.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,"0,95",5.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,ASTErrorNode,1.0,5.0,1.0,2.4,12.0,4.0,0.0,0.0,0
File,ASTNode.java,10.0,1.0,8.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,0.0,26.0,26.0,7.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,8.0,0.0,18.0,0.0,349.0,52.0,240.0,75.0,133.0,57.0,0.0,0.0,0.0,123.0,178.0,67.0,0.0,129.0,0.0,11.0,0.0,4.0,0.0,0.0,"0,24",58.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,ASTNode,2.230769230769231,58.0,11.0,8.423076923076923,219.0,42.0,4.0,0.0,0
File,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,95.0,9.0,31.0,14.0,10.0,55.0,0.0,0.0,0.0,16.0,23.0,13.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,77",6.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,ASTNodeOrigin,1.0,6.0,1.0,3.8333333333333335,23.0,8.0,0.0,0.0,0
File,ATSHook.java,19.0,1.0,16.0,2.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,11.0,25.0,0.0,0.0,0.0,15.0,24.0,29.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,4.0,2.0,16.0,0.0,480.0,47.0,388.0,148.0,255.0,54.0,0.0,0.0,0.0,229.0,291.0,139.0,0.0,204.0,0.0,10.0,0.0,4.0,0.0,0.0,"0,14",56.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,ATSHook,3.636363636363636,40.0,8.0,20.625,330.0,86.0,4.0,10.0,0
File,AbortDroneException.java,3.0,0.0,3.0,0.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,1.0,10.0,5.0,3.0,18.0,0.0,0.0,0.0,4.0,7.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,80",2.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,AbortDroneException,1.0,2.0,1.0,3.0,6.0,3.0,0.0,0.0,0
File,AbortTxnRequest.java,7.0,0.0,6.0,1.0,2.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,38.0,0.0,0.0,0.0,36.0,35.0,5.0,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,2.0,0.0,35.0,0.0,387.0,64.0,297.0,104.0,144.0,29.0,0.0,0.0,0.0,139.0,207.0,91.0,0.0,124.0,0.0,5.0,0.0,3.0,0.0,0.0,"0,10",61.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,AbortTxnRequest,1.7058823529411764,58.0,5.0,10.325,413.0,88.0,3.0,25.0,0
File,AbortTxnsDesc.java,5.0,0.0,3.0,2.0,1.0,"0,00","0,00",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,36.0,0.0,13.0,8.0,3.0,23.0,0.0,0.0,0.0,7.0,10.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"1,77",2.0,rel/storage-release-2.5.0,a1db68c7c9839491240a712b019cd0cc1acd8e15,AbortTxnsDesc,1.0,2.0,1.0,3.0,6.0,3.0,0.0,0.0,0
