Bug_ID,File_Path
HIVE-28190,ql/src/test/org/apache/hadoop/hive/metastore/txn/TestTxnHandler.java
HIVE-28190,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java
HIVE-28190,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/jdbc/functions/HeartbeatTxnRangeFunction.java
HIVE-28173,itests/hive-unit/src/test/java/org/apache/hadoop/hive/ql/parse/TestParseUtilsStagingDir.java
HIVE-28173,ql/src/java/org/apache/hadoop/hive/ql/Context.java
HIVE-28173,ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveMaterializedViewsRegistry.java
HIVE-28173,ql/src/java/org/apache/hadoop/hive/ql/parse/ParseUtils.java
HIVE-28173,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
HIVE-28166,iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergMetaHook.java
HIVE-28166,iceberg/iceberg-handler/src/main/java/org/apache/iceberg/mr/hive/HiveIcebergStorageHandler.java
HIVE-28166,ql/src/java/org/apache/hadoop/hive/ql/metadata/Hive.java
HIVE-28166,ql/src/java/org/apache/hadoop/hive/ql/metadata/SessionHiveMetaStoreClient.java
HIVE-28166,ql/src/java/org/apache/hadoop/hive/ql/metadata/Table.java
HIVE-28166,ql/src/java/org/apache/hadoop/hive/ql/parse/HiveTableName.java
HIVE-28166,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClient.java
HIVE-28166,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/IMetaStoreClient.java
HIVE-28166,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/HiveMetaStoreClientPreCatalog.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/Exec.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/Expression.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/Select.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/Stmt.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/Utils.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/Var.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/functions/BuiltinFunctions.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/functions/FunctionDatetime.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/functions/FunctionMisc.java
HIVE-28143,hplsql/src/main/java/org/apache/hive/hplsql/functions/FunctionString.java
HIVE-28143,hplsql/src/test/java/org/apache/hive/hplsql/TestHplsqlLocal.java
HIVE-28143,itests/hive-unit/src/test/java/org/apache/hive/beeline/TestHplSqlViaBeeLine.java
HIVE-28123,llap-common/src/gen/protobuf/gen-java/org/apache/hadoop/hive/llap/daemon/rpc/LlapDaemonProtocolProtos.java
HIVE-28123,llap-common/src/gen/protobuf/gen-java/org/apache/hadoop/hive/llap/plugin/rpc/LlapPluginProtocolProtos.java
HIVE-28123,ql/src/gen/protobuf/gen-java/org/apache/hadoop/hive/ql/hooks/proto/HiveHookEvents.java
HIVE-28123,ql/src/gen/protobuf/gen-test/org/apache/hadoop/hive/ql/io/protobuf/SampleProtos.java
HIVE-28121,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/HiveAlterHandler.java
HIVE-28121,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/MetaStoreDirectSql.java
HIVE-28121,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/ObjectStore.java
HIVE-28121,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/RawStore.java
HIVE-28121,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/client/TestTablesCreateDropAlterTruncate.java
HIVE-28009,ql/src/java/org/apache/hadoop/hive/ql/optimizer/SharedWorkOptimizer.java
HIVE-28006,ql/src/java/org/apache/hadoop/hive/ql/ddl/view/materialized/alter/rebuild/AlterMaterializedViewRebuildAnalyzer.java
HIVE-28006,ql/src/java/org/apache/hadoop/hive/ql/ddl/view/materialized/show/ShowMaterializedViewsFormatter.java
HIVE-28006,ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveMaterializedViewsRegistry.java
HIVE-28006,ql/src/java/org/apache/hadoop/hive/ql/metadata/HiveRelOptMaterialization.java
HIVE-28006,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/views/IncrementalRebuildMode.java
HIVE-28006,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/views/MaterializedViewIncrementalRewritingRelVisitor.java
HIVE-28006,ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/views/MaterializedViewRewritingRelVisitor.java
