Key,Summary,Status,Affected Versions
HIVE-21284,StatsWork should use footer scan for Parquet,Closed,4.0.0
HIVE-21281,Repl checkpointing doesn't work when retry bootstrap load with partitions of external tables.,Closed,4.0.0
HIVE-21280,Null pointer exception on running compaction against a MM table.,Closed,"3.0.0, 3.1.1"
HIVE-21269, Mandate -update and -delete as DistCp options to sync data files for external tables replication.,Closed,4.0.0
HIVE-21263,DruidStorageHandler should not disable the druid datasource when a hive external table is dropped,Resolved,3.1.0
HIVE-21261,Incremental REPL LOAD adds redundant COPY and MOVE tasks for external table events.,Closed,4.0.0
HIVE-21260,Hive replication to a target with hive.strict.managed.tables enabled is failing when used HMS on postgres.,Closed,4.0.0
HIVE-21257,Vectorized LENGTH UDF doesn't respect the max length of VARCHAR or CHAR in Hive 3+,Resolved,"3.1.1, 4.0.0"
HIVE-21254,Pre-upgrade tool should handle exceptions and skip db/tables,Closed,4.0.0
HIVE-21244,NPE in Hive Proto Logger,Resolved,4.0.0
HIVE-21238,Fix Surrogate Key issue,Closed,3.0.0
HIVE-21235,LLAP: make the name of log4j2 properties file configurable,Closed,4.0.0
HIVE-21233,ACID: Make validate_acid_sort_order() Stateful UDF,Closed,4.0.0
HIVE-21232,LLAP: Add a cache-miss friendly split affinity provider,Closed,4.0.0
HIVE-21227,HIVE-20776 causes view access regression,Closed,4.0.0
HIVE-21223,CachedStore returns null partition when partition does not exist,Closed,"3.2.0, 4.0.0"
HIVE-21222,ACID: When there are no delete deltas skip finding min max keys,Closed,"3.2.0, 4.0.0"
HIVE-21218,KafkaSerDe doesn't support topics created via Confluent Avro serializer,Resolved,3.1.1
HIVE-21212,LLAP: shuffle port config uses internal configuration,Closed,4.0.0
HIVE-21206,Bootstrap replication is slow as it opens lot of metastore connections.,Closed,4.0.0
HIVE-21200,Vectorization: date column throwing java.lang.UnsupportedOperationException for parquet,Resolved,2.3.4
HIVE-21194,DruidStorageHandler should set a version of segment to UTC,Resolved,3.1.0
HIVE-21186,External tables replication throws NPE if hive.repl.replica.external.table.base.dir is not fully qualified HDFS path.,Closed,4.0.0
HIVE-21185,insert overwrite directory ... stored as nontextfile raise exception with merge files open,Resolved,"2.1.1, 2.3.0"
HIVE-21177,Optimize AcidUtils.getLogicalLength(),Closed,3.0.0
HIVE-21167,Bucketing: Bucketing version 1 is incorrectly partitioning data,Closed,3.1.1
HIVE-21164,ACID: explore how we can avoid a move step during inserts/compaction,Closed,3.1.1
HIVE-21157,Slf4j warning again from 2.X.X,Resolved,2.0.0
HIVE-21146,Enforce TransactionBatch size=1 for blob stores,Resolved,3.0.0
HIVE-21144,ODBC with prepared statement fail inside a CTE,Resolved,3.1.0
HIVE-21136,Kryo exception : Unable to create serializer  for class AtomicReference,Resolved,2.3.4
HIVE-21132,Semi join edge is not being removed despite max bloomfilter entries set to 1,Closed,4.0.0
HIVE-21125,Hive does not check for dependent materialized views when issuing a DROP TABLE command,Resolved,3.1.0
HIVE-21114,Create read-only transactions,Closed,4.0.0
HIVE-21111,ConditionalTask cannot be cast to MapRedTask,Closed,"2.1.1, 2.3.4, 3.1.1"
HIVE-21106,Potential NEP in VectorizedOrcAcidRowBatchReader.ColumnizedDeleteEventRegistry,Closed,3.0.0
HIVE-21104,PTF with nested structure throws ClassCastException,Closed,"2.3.0, 3.0.0, 4.0.0"
HIVE-21103,PartitionManagementTask should not modify DN configs to avoid closing persistence manager,Closed,4.0.0
HIVE-21086,Fetch task and MR job give back different results when multiple partitions point to the same location,Closed,4.0.0
HIVE-21081,DATE_FORMAT incorrectly returns results on the last week of the calendar year,Resolved,"2.1.1, 2.3.2, 2.3.3"
HIVE-21075,Metastore: Drop partition performance downgrade with Postgres DB,Closed,3.0.0
HIVE-21074,Hive bucketed table query pruning does not work for IS NOT NULL condition,Closed,"3.1.0, 3.0.0, 3.1.1"
HIVE-21066,unexpected SemanticException,Resolved,2.3.0
HIVE-21061,CTAS query fails with IllegalStateException for empty source,Closed,3.1.0
HIVE-21052,Make sure transactions get cleaned if they are aborted before addPartitions is called,Resolved,"3.0.0, 3.1.1"
HIVE-21039,CURRENT_TIMESTAMP returns value in UTC time zone,Closed,3.1.1
HIVE-21038,Fix checkstyle for standalone-metastore,Closed,3.1.0
HIVE-21036,extend OpenTxnRequest with transaction type,Closed,4.0.0
HIVE-21035,Race condition in SparkUtilities#getSparkSession,Closed,4.0.0
HIVE-21033,Forgetting to close operation cuts off any more HiveServer2 output,Closed,"2.0.0, 3.0.0"
HIVE-21029,External table replication for existing deployments running incremental replication.,Closed,"3.1.0, 3.0.0, 3.1.1"
HIVE-21028,get_table_meta should use a fetch plan to avoid race conditions ending up in NucleusObjectNotFoundException,Closed,3.0.0
HIVE-21022,Fix remote metastore tests which use ZooKeeper,Closed,4.0.0
HIVE-21019,Fix autoColumnStats tests to make auto stats gather possible.,Resolved,4.0.0
HIVE-21009,LDAP - Specify binddn for ldap-search,Closed,"2.1.0, 2.1.1, 2.2.0, 2.3.0, 2.3.1, 2.3.2"
HIVE-21002,TIMESTAMP - Backwards incompatible change: Hive 3.1 reads back Avro and Parquet timestamps written by Hive 2.x incorrectly,Resolved,"3.1.0, 3.1.1"
HIVE-20989,JDBC - The GetOperationStatus + log can block query progress via sleep(),Closed,4.0.0
HIVE-20988,Wrong results for group by queries with primary key on multiple columns,Closed,4.0.0
HIVE-20979,Fix memory leak in hive streaming,Closed,3.1.1
HIVE-20969,HoS sessionId generation can cause race conditions when uploading files to HDFS,Closed,4.0.0
HIVE-20955,Calcite Rule HiveExpandDistinctAggregatesRule seems throwing IndexOutOfBoundsException,Resolved,4.0.0
HIVE-20953,Remove a function from function registry when it can not be added to the metastore when creating it.,Closed,4.0.0
HIVE-20951,LLAP: Set Xms to 50% always ,Closed,"3.1.1, 4.0.0"
HIVE-20948,Eliminate file rename in compactor,Resolved,4.0.0
HIVE-20941,Compactor produces a delete_delta_x_y even if there are no input delete events,Closed,3.0.0
HIVE-20935,Upload of llap package tarball fails in EC2 causing LLAP service start failure,Closed,3.1.1
HIVE-20926,Semi join reduction hint fails when bloom filter entries are high or when there are no stats,Closed,4.0.0
HIVE-20916,Fix typo in JSONCreateDatabaseMessage and add test for alter database,Closed,4.0.0
HIVE-20915,Make dynamic sort partition optimization available to HoS and MR,Closed,4.0.0
HIVE-20911,External Table Replication for Hive,Closed,4.0.0
HIVE-20910,Insert in bucketed table fails due to dynamic partition sort optimization,Closed,4.0.0
HIVE-20905,querying streaming table fails with out of memory exception,Closed,4.0.0
HIVE-20901,running compactor when there is nothing to do produces duplicate data,Closed,4.0.0
HIVE-20899,Keytab URI for LLAP YARN Service is restrictive to support HDFS only,Closed,3.1.1
HIVE-20872,Creating information_schema and sys schema via schematool fails with parser error,Resolved,"3.1.0, 3.1.1"
HIVE-20870,Metastore cache is accessed for transaction table stats,Closed,4.0.0
HIVE-20858,Serializer is not correctly initialized with configuration in Utilities.createEmptyBuckets(),Closed,3.1.0
HIVE-20848,After setting UpdateInputAccessTimeHook query fail with Table Not Found.,Closed,3.1.0
HIVE-20843,RELY constraints on primary keys and foreign keys are not recognized,Resolved,"2.1.1, 3.0.0"
HIVE-20842,Fix logic introduced in HIVE-20660 to estimate statistics for group by,Closed,4.0.0
HIVE-20841,LLAP: Make dynamic ports configurable,Closed,"3.2.0, 4.0.0"
HIVE-20833,package.jdo needs to be updated to conform with HIVE-20221 changes,Closed,4.0.0
HIVE-20817,Reading Timestamp datatype via HiveServer2 gives errors,Closed,4.0.0
HIVE-20816,FastHiveDecimal throws Exception (RuntimeException: Unexpected #3),Resolved,2.3.2
HIVE-20806,Add ASF license for files added in HIVE-20679,Closed,4.0.0
HIVE-20805,Hive does not copy source data when importing as non-hive user ,Closed,4.0.0
HIVE-20801,ACID: Allow DbTxnManager to ignore non-ACID table read locking,Closed,4.0.0
HIVE-20792,Inserting timestamp with zones truncates the data,Closed,3.1.0
HIVE-20785,Wrong key name in the JDBC DatabaseMetaData.getPrimaryKeys method,Closed,3.1.0
HIVE-20771,LazyBinarySerDe fails on empty structs.,Closed,"1.2.2, 2.3.2, 3.1.0"
HIVE-20762,NOTIFICATION_LOG cleanup interval is hardcoded as 60s and is too small.,Closed,4.0.0
HIVE-20761,Select for update on notification_sequence table has retry interval and retries count too small.,Closed,4.0.0
HIVE-20757,Autogather stats doesn't work when SDPO (sort dynamic partition optimization) is ON,Resolved,4.0.0
HIVE-20756,Disable SARG leaf creation for date column until ORC-135,Resolved,2.1.1
HIVE-20751,Upgrade arrow version to 0.10.0,Closed,3.1.0
HIVE-20742,SparkSessionManagerImpl maintenance thread only cleans up session once,Closed,4.0.0
HIVE-20734,"Beeline: When beeline-site.xml is and hive CLI redirects to beeline, it should use the system username/dummy password instead of prompting for one",Closed,3.1.0
HIVE-20719,SELECT statement fails after UPDATE with hive.optimize.sort.dynamic.partition optimization and vectorization on,Closed,4.0.0
HIVE-20714,SHOW tblproperties for a single property returns the value in the name column,Closed,3.1.0
HIVE-20693,Case-sensitivity for column names when reading from ORC,Resolved,2.3.2
HIVE-20682,Async query execution can potentially fail if shared sessionHive is closed by master thread.,Closed,4.0.0
HIVE-20680,Bootstrap is missing partitions in replicated DB when retry after kill query.,Closed,4.0.0
HIVE-20679,DDL operations on hive might create large messages for DBNotification,Closed,3.1.0
HIVE-20678,HiveHBaseTableOutputFormat should implement HiveOutputFormat to ensure compatibility,Closed,4.0.0
HIVE-20676,HiveServer2: PrivilegeSynchronizer is not set to daemon status,Closed,4.0.0
HIVE-20673,Vectorized map join fails with 'Unexpected column vector type STRUCT',Resolved,3.1.0
HIVE-20659,Update commons-compress to 1.18 due to security issues,Closed,"1.2.1, 2.3.2, 3.1.0, 3.0.0"
HIVE-20656,Sensible defaults: Map aggregation memory configs are too aggressive,Closed,"3.2.0, 4.0.0"
HIVE-20649,LLAP aware memory manager for Orc writers,Closed,"3.2.0, 4.0.0"
HIVE-20648,LLAP: Vector group by operator should use memory per executor,Closed,"3.2.0, 4.0.0"
HIVE-20636,Improve number of null values estimation after outer join,Closed,4.0.0
HIVE-20632,Query with get_splits UDF fails if materialized view is created on queried table. ,Closed,4.0.0
HIVE-20631,Hive returns 20011 error code for re-triable error,Closed,4.0.0
HIVE-20629,Hive incremental replication fails with events missing error if database is kept idle for more than an hour,Closed,4.0.0
HIVE-20628,Parsing error when using a complex map data type under dynamic column masking,Resolved,2.1.0
HIVE-20627,Concurrent async queries intermittently fails with LockException and cause memory leak.,Closed,4.0.0
HIVE-20621,GetOperationStatus called in resultset.next causing incremental slowness,Closed,"3.2.0, 4.0.0"
HIVE-20612,Create new join multi-key correlation flag for CBO,Closed,4.0.0
HIVE-20610,TestDbNotificationListener should not use /tmp directory,Closed,"3.0.0, 4.0.0"
HIVE-20607,TxnHandler should use PreparedStatement to execute direct SQL queries.,Closed,"3.1.0, 4.0.0"
HIVE-20601,EnvironmentContext null in ALTER_PARTITION event in DbNotificationListener,Closed,"3.0.0, 4.0.0"
HIVE-20599,CAST(INTERVAL_DAY_TIME AS STRING) is throwing SemanticException,Closed,3.1.0
HIVE-20595,Add findbugs-exclude.xml to metastore-server,Closed,4.0.0
HIVE-20593,Load Data for partitioned ACID tables fails with bucketId out of range: -1,Closed,3.1.0
HIVE-20586,Beeline is asking for user/pass when invoked without -u,Resolved,"3.1.0, 3.0.0"
HIVE-20583,Use canonical hostname only for kerberos auth in HiveConnection,Closed,"3.2.0, 4.0.0"
HIVE-20582,Make hflush in hive proto logging configurable,Closed,"3.2.0, 4.0.0"
HIVE-20577,Disable org.apache.hive.jdbc.miniHS2.TestHs2ConnectionMetricsHttp.testOpenConnectionMetrics,Resolved,4.0.0
HIVE-20574,Column statistics give erraneous numDistinct,Resolved,2.3.2
HIVE-20563,Vectorization: CASE WHEN expression fails when THEN/ELSE type and result type are different,Closed,4.0.0
HIVE-20561,Use the position of the Kafka Consumer to track progress instead of Consumer Records offsets,Closed,4.0.0
HIVE-20555,HiveServer2: Preauthenticated subject for http transport is not retained for entire duration of http communication in some cases,Closed,"2.3.2, 3.1.0"
HIVE-20544,TOpenSessionReq logs password and username,Closed,4.0.0
HIVE-20542,Incremental REPL DUMP progress information log message is incorrect.,Closed,"3.2.0, 4.0.0"
HIVE-20541,REPL DUMP on external table with add partition event throws NoSuchElementException.,Closed,"3.2.0, 4.0.0"
HIVE-20511,REPL DUMP is leaking metastore connections,Closed,4.0.0
HIVE-20507,Beeline: Add a utility command to retrieve all uris from beeline-site.xml,Resolved,3.1.0
HIVE-20505,upgrade org.openjdk.jmh:jmh-core to 1.21,Closed,4.0.0
HIVE-20499,GetTablesOperation pull all the tables meta irrespective of auth.,Closed,3.1.0
HIVE-20478,Metastore: Null checks needed in DecimalColumnStatsAggregator,Resolved,3.1.0
HIVE-20476,CopyUtils used by REPL LOAD and EXPORT/IMPORT operations ignore distcp error.,Closed,3.1.0
HIVE-20472,mvn test failing for metastore-tool module,Closed,4.0.0
HIVE-20470,Runtime of QueryInfo should be initialized,Closed,4.0.0
HIVE-20467,Allow IF NOT EXISTS/IF EXISTS in Resource plan creation/drop,Closed,3.0.1
HIVE-20462,"""CREATE VIEW IF NOT EXISTS"" fails if view already exists",Closed,3.1.0
HIVE-20451,Metastore client and server tarball issues,Closed,4.0.0
HIVE-20441,NPE in GenericUDF  when hive.allow.udf.load.on.demand is set to true,Closed,"1.2.1, 2.3.3"
HIVE-20435,Failed Dynamic Partition Insert into insert only table may loose transaction metadata,Closed,3.0.0
HIVE-20433,Implicit String to Timestamp conversion is slow,Closed,3.1.0
HIVE-20410,"aborted Insert Overwrite on transactional table causes ""Not enough history available for..."" error",Closed,3.0.0
HIVE-20406,Nested Coalesce giving incorrect results,Closed,3.0.0
HIVE-20394,Optimized and cleaned up HBaseQTest runner,Closed,4.0.0
HIVE-20385,Date: date + int fails to add days,Closed,4.0.0
HIVE-20372,WRTIE_SET typo in TxnHandler,Closed,3.1.0
HIVE-20361,ReplDumpTaskTest is failing.,Closed,4.0.0
HIVE-20356,Follow up of HIVE-19613: GenericUDTFGetSplits should handle fetch task with temp table rewrite,Resolved,3.1.0
HIVE-20347,hive.optimize.sort.dynamic.partition should work with partitioned CTAS and MV,Closed,"3.2.0, 4.0.0"
HIVE-20345,Drop database may hang if the tables get deleted from a different call,Closed,"1.3.0, 2.0.0"
HIVE-20343,Hive 3: CTAS does not respect transactional_properties,Closed,3.1.0
HIVE-20342,Create table from CTAS with location fails for managed tables,Resolved,3.0.0
HIVE-20337,CachedStore: getPartitionsByExpr is not populating the partition list correctly,Resolved,"3.1.0, 3.0.0"
HIVE-20331,"Query with union all, lateral view and Join fails with ""cannot find parent in the child operator""",Closed,2.1.1
HIVE-20318,NullPointerException when union with lateral view,Resolved,"2.3.2, 3.1.0, 3.0.0, 3.1.1"
HIVE-20316,Skip external table file listing for create table event.,Closed,3.1.0
HIVE-20304,"When hive.optimize.skewjoin and hive.auto.convert.join are both set to true, and the execution engine is mr, same stage may launch twice due to the wrong generated plan",Closed,"1.2.1, 2.3.3"
HIVE-20303,INSERT OVERWRITE TABLE db.table PARTITION (...) IF NOT EXISTS throws InvalidTableException,Closed,2.2.0
HIVE-20290,Lazy initialize ArrowColumnarBatchSerDe so it doesn't allocate buffers during GetSplits,Closed,3.1.0
HIVE-20281,SharedWorkOptimizer fails with 'operator cache contents and actual plan differ',Closed,"3.2.0, 4.0.0"
HIVE-20277,Vectorization: Case expressions that return BOOLEAN are not supported for FILTER,Closed,4.0.0
HIVE-20274,HiveServer2 ObjectInspectorFactory leaks for Struct and List object inspectors,Closed,"3.0.0, 4.0.0"
HIVE-20258,Should Syncronize getInstance in ReplChangeManager,Closed,"3.0.0, 4.0.0"
HIVE-20256,Remove unused classes from Hive QL,Closed,3.0.1
HIVE-20228,configure repl configuration directories based on user running hiveserver2,Closed,3.0.0
HIVE-20227,Exclude glassfish javax.el dependency,Resolved,3.1.0
HIVE-20226,HMS getNextNotification will throw exception when request maxEvents exceed table's max_rows,Closed,"3.0.0, 4.0.0"
HIVE-20210,Simple Fetch optimizer should lead to MapReduce when filter on non-partition column and conversion is minimal,Closed,"2.3.0, 2.3.1, 2.3.2"
HIVE-20209,Metastore connection fails for first attempt in repl dump.,Closed,"3.1.0, 3.0.0, 4.0.0"
HIVE-20205,Upgrade HBase dependencies off alpha4 release,Resolved,3.0.0
HIVE-20193,cboInfo is not present in the explain plan json,Closed,3.0.0
HIVE-20192,HS2 with embedded metastore is leaking JDOPersistenceManager objects.,Closed,"3.1.0, 3.0.0, 4.0.0"
HIVE-20187,Incorrect query results in hive when hive.convert.join.bucket.mapjoin.tez is set to true,Resolved,3.1.0
HIVE-20185,Backport HIVE-20111 to branch-3,Resolved,3.0.0
HIVE-20184,Backport HIVE-20085 to branch-3,Resolved,3.0.0
HIVE-20182,Backport HIVE-20067 to branch-3,Resolved,3.0.0
HIVE-20181,Backport HIVE-20045 to branch-3,Resolved,3.0.0
HIVE-20180,Backport HIVE-19759 to branch-3,Resolved,3.0.0
HIVE-20179,Some Tez jar-s are not on classpath so HS2 keeps too long to start,Closed,4.0.0
HIVE-20172,StatsUpdater failed with GSS Exception while trying to connect to remote metastore,Closed,2.1.1
HIVE-20168,ReduceSinkOperator Logging Hidden,Closed,"3.0.0, 4.0.0"
HIVE-20165,Enable ZLIB for streaming ingest,Closed,"3.2.0, 4.0.0"
HIVE-20153,Count and Sum UDF consume more memory in Hive 2+,Closed,2.3.2
HIVE-20152,"reset db state, when repl dump fails, so rename table can be done",Closed,3.0.0
HIVE-20147,Hive streaming ingest is contented on synchronized logging,Closed,"3.2.0, 4.0.0"
HIVE-20129,Revert to position based schema evolution for orc tables,Closed,"3.2.0, 4.0.0"
HIVE-20126,OrcInputFormat does not pass conf to orc reader options,Closed,"3.2.0, 4.0.0"
HIVE-20116,TezTask is using parent logger,Closed,4.0.0
HIVE-20112,Accumulo-Hive (managed) table creation fails with strict managed table checks: Table is marked as a managed table but is not transactional,Closed,3.0.0
HIVE-20111,HBase-Hive (managed) table creation fails with strict managed table checks: Table is marked as a managed table but is not transactional,Closed,3.0.0
HIVE-20105,"Druid-Hive: tpcds query on timestamp throws java.lang.IllegalArgumentException: Cannot create timestamp, parsing error",Closed,3.0.0
HIVE-20103,WM: Only Aggregate DAG counters if at least one is used,Closed,"3.0.0, 4.0.0"
HIVE-20101,BloomKFilter: Avoid using the local byte[] arrays entirely,Resolved,4.0.0
HIVE-20098,Statistics: NPE when getting Date column partition statistics,Closed,"1.2.1, 4.0.0"
HIVE-20088,Beeline config location path is assembled incorrectly,Closed,3.0.0
HIVE-20085,Druid-Hive (managed) table creation fails with strict managed table checks: Table is marked as a managed table but is not transactional,Closed,3.0.0
HIVE-20080,"TxnHandler checkLock direct sql fail with ORA-01795 , if the table has more than 1000 partitions",Resolved,2.1.0
HIVE-20077,hcat command should follow same pattern as hive cli for getting HBase jars,Closed,"0.14.0, 2.3.2"
HIVE-20076,ACID: Fix Synthetic ROW__ID generation for vectorized orc readers,Closed,3.0.0
HIVE-20074,Disable TestTriggersWorkloadManager as it is unstable again,Closed,4.0.0
HIVE-20067,fix InsertEvent on mm tables to not cause failing capability checks,Closed,3.1.3
HIVE-20066,hive.load.data.owner is compared to full principal,Closed,"3.1.0, 4.0.0"
HIVE-20059,Hive streaming should try shade prefix unconditionally on exception,Closed,"3.1.0, 3.2.0, 4.0.0"
HIVE-20043,HiveServer2: SessionState has a static sync block around an AtomicBoolean,Closed,3.0.0
HIVE-20040,JDBC: HTTP listen queue is 50 and SYNs are lost,Resolved,"3.1.0, 3.0.0"
HIVE-20039,Bucket  pruning: Left Outer Join on bucketed table gives wrong result,Closed,"2.3.2, 3.0.0"
HIVE-20038,Update queries on non-bucketed + partitioned tables throws NPE,Closed,"3.1.3, 3.2.0, 4.0.0"
HIVE-20036,Hive Compactor MapReduce  task keeps failing due to wrong hadoop URI.,Resolved,2.3.3
HIVE-20028,Metastore client cache config is used incorrectly,Closed,"3.2.0, 4.0.0"
HIVE-20025,Clean-up of event files created by HiveProtoLoggingHook.,Closed,3.0.0
HIVE-20021,LLAP: Fall back to Synthetic File-ids when getting a HdfsConstants.GRANDFATHER_INODE_ID,Resolved,3.0.0
HIVE-20016,Investigate TestJdbcWithMiniHS2.testParallelCompilation3 random failure,Resolved,4.0.0
HIVE-20004,Wrong scale used by ConvertDecimal64ToDecimal results in incorrect results,Closed,"3.1.0, 3.0.1, 4.0.0"
HIVE-20001,"With doas set to true, running select query as hrt_qa user on external table fails due to permission denied to read /warehouse/tablespace/managed directory.",Closed,3.0.0
HIVE-19984,Backport HIVE-15976 to branch-3,Resolved,3.1.0
HIVE-19983,Backport HIVE-19769 to branch-3,Resolved,3.2.0
HIVE-19980,GenericUDTFGetSplits fails when order by query returns 0 rows,Closed,"3.1.0, 4.0.0"
HIVE-19965,Make HiveEndPoint use IMetaStoreClient.add_partition,Closed,3.0.0
HIVE-19964,Apply resource plan fails if trigger expression has quotes,Closed,"3.1.0, 4.0.0"
HIVE-19956,Include yarn registry classes to jdbc standalone jar,Closed,"3.1.0, 4.0.0"
HIVE-19948,HiveCli is not splitting the command by semicolon properly if quotes are inside the string ,Closed,2.2.0
HIVE-19946,VectorizedRowBatchCtx.recordIdColumnVector cannot be shared between different JVMs,Closed,3.0.0
HIVE-19935,Hive WM session killed: Failed to update LLAP tasks count,Closed,3.1.0
HIVE-19917,Export of full CRUD transactional table fails if table is not in default database,Closed,3.0.0
HIVE-19912,"Schema evolution checks prints a log line in INFO mode for each vectorized rowbatch, impacts performance",Closed,3.0.0
HIVE-19908,Block Insert Overwrite with Union All on full CRUD ACID tables using HIVE_UNION_SUBDIR_,Closed,3.0.0
HIVE-19907,Driver.isValidTxnListState should rely on global txn list,Resolved,"3.1.0, 4.0.0"
HIVE-19903,Disable temporary insert-only transactional table,Closed,4.0.0
HIVE-19890,ACID: Inherit bucket-id from original ROW_ID for delete deltas,Closed,3.0.0
HIVE-19888,"Misleading ""METASTORE_FILTER_HOOK will be ignored"" warning from SessionState",Closed,3.0.0
HIVE-19887,One item in pom.xml still has 3.1.0 causing Metastore releated tables related test failures. ,Closed,4.0.0
HIVE-19886,Logs may be directed to 2 files if --hiveconf hive.log.file is used,Closed,"3.1.0, 4.0.0"
HIVE-19884,Invalidation cache may throw NPE when there is no data in table used by materialized view,Closed,3.1.0
HIVE-19877,Remove setting hive.execution.engine as mr in HiveStreamingConnection,Closed,"3.1.0, 4.0.0"
HIVE-19876,Multiple fixes for Driver.isValidTxnListState,Closed,"3.1.0, 4.0.0"
HIVE-19875,increase LLAP IO queue size for perf,Closed,"3.1.0, 4.0.0"
HIVE-19873,Cleanup operation log on query cancellation after some delay,Closed,"3.1.0, 4.0.0"
HIVE-19871,"add_partitions, create constraint calls and create_table_with_constraints do not properly handle client being configured with a non-Hive catalog.",Resolved,3.0.0
HIVE-19864,Address TestTriggersWorkloadManager flakiness,Closed,"3.1.0, 4.0.0"
HIVE-19861,Fix temp table path generation for acid table export,Closed,3.0.0
HIVE-19860,HiveServer2 ObjectInspectorFactory memory leak with cachedUnionStructObjectInspector,Closed,2.1.0
HIVE-19857,Set 3.1.0 for sys db version,Closed,3.1.0
HIVE-19850,Dynamic partition pruning in Tez is leading to 'No work found for tablescan' error,Closed,3.0.0
HIVE-19839,sssssssssssss,Resolved,2.3.1
HIVE-19827,hiveserver2 startup should provide a way to override TEZ_CONF_DIR,Closed,3.1.0
HIVE-19817,Hive streaming API + dynamic partitioning + json/regex writer does not work,Closed,"3.1.0, 3.0.1, 4.0.0"
HIVE-19814,RPC Server port is always random for spark,Closed,"2.3.0, 2.4.0, 3.0.0, 4.0.0"
HIVE-19806,Several tests do not properly sort their output,Closed,3.0.0
HIVE-19801,JDBC: Add some missing classes to jdbc standalone jar and remove hbase classes,Closed,"3.1.0, 3.0.0"
HIVE-19794,Disable removing order by from subquery in GenericUDTFGetSplits,Closed,"3.1.0, 4.0.0"
HIVE-19792,Upgrade orc to 1.5.2 and enable decimal_64 schema evolution tests,Closed,4.0.0
HIVE-19773,CBO exception while running queries with tables that are not present in materialized views,Closed,"3.1.0, 4.0.0"
HIVE-19772,Streaming ingest V2 API can generate invalid orc file if interrupted,Closed,"3.1.0, 3.0.1, 4.0.0"
HIVE-19771,allowNullColumnForMissingStats should not be false when column stats are estimated,Closed,3.0.0
HIVE-19750,Initialize NEXT_WRITE_ID. NWI_NEXT on converting an existing table to full acid,Closed,3.0.0
HIVE-19749,Acid V1 to V2 upgrade,Closed,3.0.0
HIVE-19743,hive is not pushing predicate down to HBaseStorageHandler if hive key mapped with hbase is stored as varchar,Resolved,2.1.0
HIVE-19734,"Beeline: When beeline-site.xml is present, beeline does not honor -n (username) and -p (password) arguments",Closed,3.0.0
HIVE-19728,beeline with USE_BEELINE_FOR_HIVE_CLI fails when trying to set hive.aux.jars.path,Closed,3.0.0
HIVE-19726,ORC date PPD is broken,Closed,"3.1.0, 2.4.0, 3.0.1, 4.0.0"
HIVE-19724,Show partitions showing partition after running truncate table,Resolved,3.1.0
HIVE-19718,Adding partitions in bulk also fetches table for each partition,Closed,3.0.0
HIVE-19711,Refactor Hive Schema Tool,Closed,3.0.0
HIVE-19710,Hive Schema Tool createCatalog command is not working with postgres DB,Resolved,3.0.0
HIVE-19701,getDelegationTokenFromMetaStore doesn't need to be synchronized,Closed,4.0.0
HIVE-19698,TestAMReporter#testMultipleAM is flaky,Closed,3.1.0
HIVE-19697,TestReOptimization#testStatCachingMetaStore is flaky,Closed,3.1.0
HIVE-19695,Year Month Day extraction functions need to add an implicit cast for column that are String types,Closed,3.0.0
HIVE-19694,Create Materialized View statement should check for MV name conflicts before running MV's SQL statement. ,Closed,3.0.0
HIVE-19691,Start SessionState in materialized views registry,Closed,3.0.0
HIVE-19687,Export table on acid partitioned table is failing,Closed,3.0.0
HIVE-19686,schematool  --createCatalog option fails when using Oracle as the RDBMS,Resolved,3.0.0
HIVE-19680,Push down limit is not applied for Druid storage handler.,Closed,3.0.0
HIVE-19677,Disable sample6.q,Closed,3.1.0
HIVE-19675,Cast to timestamps on Druid time column leads to an exception,Closed,3.0.0
HIVE-19664,LLAP reader changes for decimal 64,Resolved,4.0.0
HIVE-19661,switch Hive UDFs to use Re2J regex engine,Closed,3.0.0
HIVE-19658,Update Hive to use ORC 1.4.4,Resolved,3.0.0
HIVE-19652,Incorrect predicate pushdown for groupby with grouping sets,Closed,3.1.0
HIVE-19638,Configuration not passed to ORC Reader.Options,Resolved,"2.3.0, 2.3.1, 2.3.2"
HIVE-19632,Remove webapps directory from standalone jar,Closed,3.1.0
HIVE-19629,Enable Decimal64 reader after orc version upgrade,Closed,3.1.0
HIVE-19614,GenericUDTFGetSplits does not honor ORDER BY,Closed,3.1.0
HIVE-19613,GenericUDTFGetSplits should handle fetch task with temp table rewrite,Closed,3.1.0
HIVE-19599,Release Notes : Highlighting backwards incompatible changes,Resolved,3.0.0
HIVE-19588,Several invocation of file listing when creating VectorizedOrcAcidRowBatchReader,Closed,3.1.0
HIVE-19585,Add UNKNOWN to PrincipalType,Resolved,2.3.2
HIVE-19580,Hive 2.3.2 with ORC files & stored on S3 are case sensitive on EMR,Resolved,2.3.2
HIVE-19577,CREATE TEMPORARY TABLE LIKE  and INSERT generate output format mismatch errors,Closed,3.0.0
HIVE-19576,IHMSHandler.getTable not always fetching the right catalog,Resolved,3.0.0
HIVE-19575,TestAutoPurgeTables seems flaky,Closed,3.1.0
HIVE-19570,"Multiple inserts using ""Group by"" and ""Distinct""  generates incorrect results",Resolved,"1.2.0, 3.0.0"
HIVE-19569,alter table db1.t1 rename db2.t2 generates MetaStoreEventListener.onDropTable(),Closed,3.0.0
