Key,Summary,Status,Affected Versions
HIVE-26396,The trunc function has a problem with precision interception and the result has many 0,Closed,3.1.3
HIVE-26374,Query based compaction fails for tables with CDT and columns with Reserved Keywords,Closed,"3.1.3, 4.0.0-alpha-1"
HIVE-26339,Vectorized LIKE UDF optimization,Resolved,4.0.0
HIVE-26268,Upgrade snappy-java to 1.1.8.4,Closed,4.0.0
HIVE-26232,AcidUtils getLogicalLength shouldn't be called for external tables,Resolved,3.1.2
HIVE-26209,HIVE CBO. Wrong results with Hive SQL query with MULTIPLE IN conditions in where clause if CBO enabled,Resolved,2.3.6
HIVE-26197,Hive - Upgrade Ant to 1.10.11 due to CVE-2021-36373 and CVE-2021-36374,Closed,"3.1.3, 4.0.0, 4.0.0-alpha-1"
HIVE-26184,COLLECT_SET with GROUP BY is very slow when some keys are highly skewed,Closed,"2.3.8, 3.1.3"
HIVE-26158,TRANSLATED_TO_EXTERNAL partition tables cannot query partition data after rename table,Closed,"4.0.0, 4.0.0-alpha-1, 4.0.0-alpha-2"
HIVE-26114,Fix jdbc connection hiveserver2 using dfs command with prefix space will cause exception,Closed,"2.3.8, 3.1.2"
HIVE-26036,NPE caused by getMTable() in ObjectStore,Closed,"3.1.2, 4.0.0"
HIVE-26018,The result of UNIQUEJOIN on Hive on Tez is inconsistent with that of MR,Resolved,"3.1.0, 4.0.0"
HIVE-26017,Insert with partition value containing colon and space is creating partition having wrong value,Resolved,4.0.0
HIVE-25991,Backport HIVE-25522 to branch-3,Resolved,3.1.2
HIVE-25986,Statement id is incorrect in case of load in path to MM table,Closed,4.0.0
HIVE-25978,Attributes not removed from org.apache.hadoop.hive.common.metrics.MetricsMBeanImpl ,Resolved,4.0.0
HIVE-25973,JsonReporter and JsonFileMetricsReporter writing the same file,Closed,4.0.0
HIVE-25968,cast(double as bigint) may cause an error return,Resolved,2.1.1
HIVE-25964,Create iceberg table  with ranger authorization failed with storage URI NullPointerException ,Closed,4.0.0
HIVE-25957,Fix password based authentication with SAML enabled,Closed,4.0.0
HIVE-25926,Move all logging from AcidMetricService to AcidMetricLogger,Closed,4.0.0
HIVE-25924,CLONE - CLONE - SchemaTool error: Unknown version specified for initialization: 3.1.0,Resolved,3.1.1
